name,team,bye,CBSprojected,pos,ESPNprojected,NFLprojected,YAHOOprojected
Todd Gurley,ATL,10,186.9,RB,186.9,186.9,204.5
Chris Carson,SEA,6,185.2,RB,185.2,185.2,204.4
James Conner,PIT,4,177.1,RB,177.1,177.1,201.2
Austin Ekeler,LAC,6,174.0,RB,174.0,174.0,200.1
David Johnson,HOU,8,173.3,RB,173.3,173.3,196.8
Le'Veon Bell,NYJ,10,160.1,RB,160.1,160.1,188.1
Melvin Gordon,DEN,5,151.4,RB,151.4,151.4,170.9
Mark Ingram,BAL,7,151.2,RB,151.2,151.2,164.7
Jonathan Taylor,IND,7,141.2,RB,141.2,141.2,161.4
Leonard Fournette,TB,13,138.0,RB,138.0,138.0,157.5
Raheem Mostert,SF,11,136.1,RB,136.1,136.1,151.2
Antonio Gibson,WAS,8,134.4,RB,134.4,134.4,150.5
Cam Akers,LAR,9,133.0,RB,133.0,133.0,148.7
Devin Singletary,BUF,11,127.8,RB,127.8,127.8,146.1
Tevin Coleman,SF,11,125.6,RB,125.6,125.6,145.7
David Montgomery,CHI,11,124.7,RB,124.7,124.7,144.3
Marlon Mack,IND,7,122.3,RB,122.3,122.3,140.6
Kareem Hunt,CLE,9,119.7,RB,119.7,119.7,136.7
D'Andre Swift,DET,5,118.2,RB,118.2,118.2,136.4
James White,NE,5,116.2,RB,116.2,116.2,134.2
Matt Breida,MIA,7,113.1,RB,113.1,113.1,131.1
Phillip Lindsay,DEN,5,110.2,RB,110.2,110.2,129.8
J.K. Dobbins,BAL,7,106.4,RB,106.4,106.4,129.2
Duke Johnson,HOU,8,105.3,RB,105.3,105.3,126.8
Tarik Cohen,CHI,11,102.4,RB,102.4,102.4,114.9
Jordan Howard,MIA,7,101.3,RB,101.3,101.3,112.9
Latavius Murray,NO,6,99.4,RB,99.4,99.4,110.7
Kerryon Johnson,DET,5,96.7,RB,96.7,96.7,108.8
Zack Moss,BUF,11,91.5,RB,91.5,91.5,107.4
Ronald Jones,TB,13,90.1,RB,90.1,90.1,102.1
Chris Thompson,JAC,8,81.4,RB,81.4,81.4,99.5
Boston Scott,PHI,9,79.1,RB,79.1,79.1,93.1
Alexander Mattison,MIN,7,78.4,RB,78.4,78.4,90.9
Chase Edmonds,ARI,8,75.1,RB,75.1,75.1,89.4
Damien Harris,NE,5,74.7,RB,74.7,74.7,85.1
Sony Michel,NE,5,74.3,RB,74.3,74.3,84.8
Jamaal Williams,GB,5,72.4,RB,72.4,72.4,84.4
Justin Jackson,LAC,6,72.4,RB,72.4,72.4,82.2
AJ Dillon,GB,5,71.5,RB,71.5,71.5,81.9
Darrynton Evans,TEN,4,71.3,RB,71.3,71.3,81.1
Darrel Williams,KC,10,70.6,RB,70.6,70.6,81.0
Adrian Peterson,DET,5,70.2,RB,70.2,70.2,80.3
Tony Pollard,DAL,10,69.5,RB,69.5,69.5,79.6
Darrell Henderson,LAR,9,67.1,RB,67.1,67.1,78.4
Nyheim Hines,IND,7,65.9,RB,65.9,65.9,78.0
Jalen Richard,LV,6,63.4,RB,63.4,63.4,75.2
Ryquell Armstead,JAC,8,62.0,RB,62.0,62.0,74.7
Malcolm Brown,LAR,9,61.6,RB,61.6,61.6,69.0
Carlos Hyde,SEA,6,60.5,RB,60.5,60.5,68.8
Giovani Bernard,CIN,9,59.2,RB,59.2,59.2,68.4
Devine Ozigbo,JAC,8,58.3,RB,58.3,58.3,67.1
Peyton Barber,WAS,8,58.2,RB,58.2,58.2,66.3
Dion Lewis,NYG,11,55.4,RB,55.4,55.4,63.5
Joshua Kelley,LAC,6,55.0,RB,55.0,55.0,63.5
Anthony McFarland Jr.,PIT,4,53.8,RB,53.8,53.8,63.2
Benny Snell,PIT,4,53.6,RB,53.6,53.6,59.6
James Robinson,JAC,8,53.3,RB,53.3,53.3,59.5
Brian Hill,ATL,10,53.0,RB,53.0,53.0,59.3
Jerick McKinnon,SF,11,47.7,RB,47.7,47.7,57.1
Rex Burkhead,NE,5,47.6,RB,47.6,47.6,56.2
Royce Freeman,DEN,5,44.2,RB,44.2,44.2,54.2
Frank Gore,NYJ,10,44.1,RB,44.1,44.1,50.1
Jaylen Samuels,PIT,4,39.1,RB,39.1,39.1,48.1
Mike Davis,CAR,13,38.5,RB,38.5,38.5,44.1
Rashaad Penny,SEA,6,34.6,RB,34.6,34.6,43.5
Lynn Bowden Jr.,MIA,7,32.1,RB,32.1,32.1,37.6
Ito Smith,ATL,10,29.8,RB,29.8,29.8,34.3
La'Mical Perine,NYJ,10,28.3,RB,28.3,28.3,34.3
Mike Boone,MIN,7,27.0,RB,27.0,27.0,31.0
LeSean McCoy,TB,13,26.0,RB,26.0,26.0,29.0
Gus Edwards,BAL,7,25.2,RB,25.2,25.2,28.9
Bryce Love,WAS,8,24.8,RB,24.8,24.8,27.8
Travis Homer,SEA,6,22.9,RB,22.9,22.9,26.2
Corey Clement,PHI,9,22.4,RB,22.4,22.4,24.9
Jeff Wilson,SF,11,20.8,RB,20.8,20.8,23.3
Ryan Nall,CHI,11,20.4,RB,20.4,20.4,22.5
